Crop	N	P	K	Temperature	humidity	pH	Rainfall	State	Season	Price
rice	85.58	35.63	37.75	21.56	83.68	6.85	287.06	Uttar Pradesh	Post-Monsoon	19.22
rice	63.75	40.82	41.02	23.93	83.58	6.9	230.34	Karnataka	Zaid	244.73
rice	60.26	55.15	41.98	22.38	80.78	7.41	220.39	Uttar Pradesh	Post-Monsoon	38.05
rice	93.9	50.09	43.07	25.11	82.68	7.45	225.42	Maharashtra	Zaid	250.53
rice	84.74	56.54	40.77	24.93	80.23	5.96	214.73	Uttar Pradesh	Rabi	261.28
rice	75.21	46.34	43.34	21.14	81.78	6.84	264.22	Punjab	Kharif	186.65
rice	66.85	53.23	36.63	22.66	84.95	6.78	246.83	Punjab	Zaid	254.43
rice	91.04	40.73	35.32	22.21	81.34	5.92	293.15	Punjab	Zaid	71.66
rice	79.97	57.12	41.43	21.0	80.7	6.99	244.68	Punjab	Post-Monsoon	270.37
rice	75.98	40.48	44.98	23.57	80.45	5.59	193.16	Punjab	Rabi	239.7
rice	76.89	36.59	38.82	26.97	82.65	7.44	283.29	Uttar Pradesh	Kharif	207.7
rice	81.48	41.67	41.41	20.78	82.17	6.41	294.46	Punjab	Zaid	291.85
rice	90.48	47.69	36.06	24.38	84.21	6.52	203.87	Tamil Nadu	Rabi	166.42
rice	91.15	48.26	35.01	22.27	80.1	7.36	285.45	Tamil Nadu	Rabi	26.8
rice	95.12	58.67	35.86	23.4	80.35	7.02	271.9	West Bengal	Post-Monsoon	284.59
rice	66.61	48.19	41.07	26.75	84.64	7.01	262.78	Punjab	Zaid	125.71
rice	86.87	44.34	44.0	23.16	81.24	5.63	182.52	Maharashtra	Rabi	180.65
rice	60.29	52.7	35.59	20.47	80.16	6.16	241.7	Tamil Nadu	Post-Monsoon	72.13
rice	65.29	58.39	40.71	23.31	83.92	7.11	202.85	Uttar Pradesh	Post-Monsoon	112.75
rice	76.44	56.6	35.54	24.57	83.23	5.62	267.39	Uttar Pradesh	Rabi	65.56
rice	81.45	38.5	36.83	23.24	84.37	5.65	276.96	Maharashtra	Kharif	24.67
rice	99.97	55.9	44.69	26.48	84.24	5.83	238.28	West Bengal	Post-Monsoon	271.71
rice	66.59	35.05	38.9	26.49	83.93	6.07	263.59	Punjab	Post-Monsoon	54.89
rice	71.87	59.22	40.79	23.8	83.74	5.61	250.1	Maharashtra	Rabi	26.5
rice	80.31	56.28	35.69	20.48	84.31	6.31	292.99	Maharashtra	Rabi	177.89
rice	61.59	37.05	41.57	23.96	81.58	6.02	260.37	Tamil Nadu	Rabi	87.03
rice	65.24	51.14	39.57	26.5	84.68	5.52	254.54	Maharashtra	Kharif	31.25
rice	68.53	41.63	44.33	26.17	84.4	6.24	198.93	Maharashtra	Zaid	187.39
rice	99.49	51.35	35.08	25.72	81.5	6.83	292.67	West Bengal	Zaid	43.47
rice	64.28	48.83	37.72	24.23	83.59	5.91	256.11	Tamil Nadu	Post-Monsoon	82.83
rice	96.33	36.27	41.34	25.81	80.22	6.17	195.7	Tamil Nadu	Rabi	224.96
rice	82.07	45.69	35.1	20.53	84.42	7.31	245.47	Tamil Nadu	Rabi	134.64
rice	61.67	44.12	44.33	26.81	80.2	6.22	261.85	Punjab	Kharif	112.57
rice	82.4	56.87	44.74	25.25	84.63	5.97	199.5	West Bengal	Post-Monsoon	17.19
rice	89.46	43.3	44.31	25.62	84.32	7.12	212.02	Punjab	Kharif	120.94
rice	61.55	46.77	37.0	26.43	81.75	7.14	284.56	West Bengal	Kharif	201.41
rice	75.94	41.97	35.69	25.41	81.76	6.52	261.54	Maharashtra	Zaid	282.38
rice	64.61	59.26	36.79	26.74	81.33	5.72	232.15	Punjab	Zaid	136.55
rice	99.37	37.89	44.0	21.33	80.22	6.37	242.39	Maharashtra	Rabi	115.62
rice	62.8	51.61	38.3	22.2	84.24	6.94	216.04	Tamil Nadu	Post-Monsoon	104.59
rice	87.89	48.86	36.92	24.65	81.9	7.0	200.88	Maharashtra	Zaid	127.76
rice	93.35	42.6	37.1	25.5	83.03	6.14	233.01	Punjab	Rabi	158.24
rice	91.75	59.0	42.36	24.61	81.42	6.83	254.31	Uttar Pradesh	Rabi	205.11
rice	68.99	39.98	35.24	21.71	82.38	7.2	188.74	Karnataka	Rabi	218.32
rice	75.36	44.99	36.48	24.81	84.46	7.22	286.26	Karnataka	Rabi	61.01
rice	98.32	47.95	35.5	21.74	84.24	6.41	276.17	Punjab	Zaid	285.51
rice	95.66	50.32	42.19	23.53	84.15	6.6	287.66	Punjab	Post-Monsoon	140.52
rice	90.07	56.0	37.77	25.44	82.42	5.98	232.78	Punjab	Zaid	78.0
rice	73.43	57.33	35.81	21.06	81.92	5.81	205.67	Karnataka	Post-Monsoon	105.96
rice	78.64	36.56	43.33	22.73	83.85	7.39	182.34	Maharashtra	Post-Monsoon	148.32
rice	97.71	42.47	38.9	26.24	84.18	6.58	268.16	Maharashtra	Rabi	151.59
rice	70.92	47.14	38.89	24.68	83.99	6.95	280.86	West Bengal	Kharif	273.01
rice	83.68	51.57	35.84	23.0	84.33	5.86	211.22	Tamil Nadu	Rabi	141.86
rice	73.5	56.99	37.78	26.66	82.11	7.17	236.44	Punjab	Kharif	299.97
rice	74.0	51.25	42.81	24.56	83.77	7.4	203.92	Uttar Pradesh	Rabi	79.18
rice	78.94	37.86	44.48	23.26	81.28	6.24	252.71	Punjab	Kharif	235.56
